X (Prime 1),Y (Sum),Z (Prime 2)
2,4,2
3,6,3
3,8,5
3,10,7
3,14,11
3,16,13
3,20,17
3,22,19
3,26,23
3,32,29
3,34,31
3,40,37
3,44,41
3,46,43
3,50,47
3,56,53
3,62,59
3,64,61
3,70,67
3,74,71
3,76,73
3,82,79
3,86,83
3,92,89
3,100,97
5,10,5
5,12,7
5,16,11
5,18,13
5,22,17
5,24,19
5,28,23
5,34,29
5,36,31
5,42,37
5,46,41
5,48,43
5,52,47
5,58,53
5,64,59
5,66,61
5,72,67
5,76,71
5,78,73
5,84,79
5,88,83
5,94,89
7,14,7
7,18,11
7,20,13
7,24,17
7,26,19
7,30,23
7,36,29
7,38,31
7,44,37
7,48,41
7,50,43
7,54,47
7,60,53
7,66,59
7,68,61
7,74,67
7,78,71
7,80,73
7,86,79
7,90,83
7,96,89
11,22,11
11,24,13
11,28,17
11,30,19
11,34,23
11,40,29
11,42,31
11,48,37
11,52,41
11,54,43
11,58,47
11,64,53
11,70,59
11,72,61
11,78,67
11,82,71
11,84,73
11,90,79
11,94,83
11,100,89
13,26,13
13,30,17
13,32,19
13,36,23
13,42,29
13,44,31
13,50,37
13,54,41
13,56,43
13,60,47
13,66,53
13,72,59
13,74,61
13,80,67
13,84,71
13,86,73
13,92,79
13,96,83
17,34,17
17,36,19
17,40,23
17,46,29
17,48,31
17,54,37
17,58,41
17,60,43
17,64,47
17,70,53
17,76,59
17,78,61
17,84,67
17,88,71
17,90,73
17,96,79
17,100,83
19,38,19
19,42,23
19,48,29
19,50,31
19,56,37
19,60,41
19,62,43
19,66,47
19,72,53
19,78,59
19,80,61
19,86,67
19,90,71
19,92,73
19,98,79
23,46,23
23,52,29
23,54,31
23,60,37
23,64,41
23,66,43
23,70,47
23,76,53
23,82,59
23,84,61
23,90,67
23,94,71
23,96,73
29,58,29
29,60,31
29,66,37
29,70,41
29,72,43
29,76,47
29,82,53
29,88,59
29,90,61
29,96,67
29,100,71
31,62,31
31,68,37
31,72,41
31,74,43
31,78,47
31,84,53
31,90,59
31,92,61
31,98,67
37,74,37
37,78,41
37,80,43
37,84,47
37,90,53
37,96,59
37,98,61
41,82,41
41,84,43
41,88,47
41,94,53
41,100,59
43,86,43
43,90,47
43,96,53
47,94,47
47,100,53
